codigo,municipio,leitos_existentes,leitos_sus
354325,RIBEIRAO GRANDE,0,0
354330,RIBEIRAO PIRES,143,42
354340,RIBEIRAO PRETO,2128,1400
354350,RIVERSUL,0,0
354360,RIFAINA,0,0
354370,RINCAO,0,0
354380,RINOPOLIS,24,23
354390,RIO CLARO,445,246
354400,RIO DAS PEDRAS,72,64
354410,RIO GRANDE DA SERRA,0,0
354420,RIOLANDIA,36,25
354425,ROSANA,70,70
354430,ROSEIRA,14,14
354440,RUBIACEA,0,0
354450,RUBINEIA,0,0
354460,SABINO,0,0
354470,SAGRES,0,0
354480,SALES,0,0
354490,SALES OLIVEIRA,21,17
