codigo,codigo_ibge,municipio,populacao,ano
353800,3538006,Pindamonhangaba - SP,172681,2025
353810,3538105,Pindorama - SP,14704,2025
353820,3538204,Pinhalzinho - SP,15676,2025
353830,3538303,Piquerobi - SP,3287,2025
353850,3538501,Piquete - SP,12516,2025
353860,3538600,Piracaia - SP,26795,2025
353870,3538709,Piracicaba - SP,440835,2025
353880,3538808,Piraju - SP,30294,2025
353890,3538907,Pirajuí - SP,22734,2025
353900,3539004,Pirangi - SP,11085,2025
353910,3539103,Pirapora do Bom Jesus - SP,18925,2025
353920,3539202,Pirapozinho - SP,26097,2025
353930,3539301,Pirassununga - SP,75594,2025
353940,3539400,Piratininga - SP,15657,2025
353950,3539509,Pitangueiras - SP,34361,2025
353960,3539608,Planalto - SP,4451,2025
353970,3539707,Platina - SP,3055,2025
353980,3539806,Poá - SP,106355,2025
353990,3539905,Poloni - SP,5702,2025
354000,3540002,Pompéia - SP,20520,2025
354010,3540101,Pongaí - SP,3440,2025
354020,3540200,Pontal - SP,38286,2025
354025,3540259,Pontalinda - SP,4198,2025
354030,3540309,Pontes Gestal - SP,2411,2025
354040,3540408,Populina - SP,4182,2025
354050,3540507,Porangaba - SP,10850,2025
354060,3540606,Porto Feliz - SP,58605,2025
354070,3540705,Porto Ferreira - SP,53966,2025
354075,3540754,Potim - SP,20801,2025
354080,3540804,Potirendaba - SP,19097,2025
354085,3540853,Pracinha - SP,2589,2025
354090,3540903,Pradópolis - SP,17299,2025
354100,3541000,Praia Grande - SP,368539,2025
354105,3541059,Pratânia - SP,5264,2025
354110,3541109,Presidente Alves - SP,3830,2025
354120,3541208,Presidente Bernardes - SP,14803,2025
354130,3541307,Presidente Epitácio - SP,40322,2025
354140,3541406,Presidente Prudente - SP,234706,2025
354150,3541505,Presidente Venceslau - SP,35810,2025
354160,3541604,Promissão - SP,35973,2025
354165,3541653,Quadra - SP,3477,2025
354170,3541703,Quatá - SP,13412,2025
354180,3541802,Queiroz - SP,3366,2025
354190,3541901,Queluz - SP,9074,2025
354200,3542008,Quintana - SP,7260,2025
354210,3542107,Rafard - SP,9145,2025
354220,3542206,Rancharia - SP,29387,2025
354230,3542305,Redenção da Serra - SP,4637,2025
354240,3542404,Regente Feijó - SP,20620,2025
354250,3542503,Reginópolis - SP,7820,2025
354260,3542602,Registro - SP,61927,2025
354270,3542701,Restinga - SP,6486,2025
354280,3542800,Ribeira - SP,3158,2025
354290,3542909,Ribeirão Bonito - SP,11040,2025
354300,3543006,Ribeirão Branco - SP,18942,2025
354310,3543105,Ribeirão Corrente - SP,4717,2025
354320,3543204,Ribeirão do Sul - SP,4776,2025
354323,3543238,Ribeirão dos Índios - SP,2040,2025
354325,3543253,Ribeirão Grande - SP,7571,2025
354330,3543303,Ribeirão Pires - SP,118954,2025
354340,3543402,Ribeirão Preto - SP,731639,2025
354350,3543501,Riversul - SP,5628,2025
354360,3543600,Rifaina - SP,4179,2025
354370,3543709,Rincão - SP,9101,2025
354380,3543808,Rinópolis - SP,9334,2025
354390,3543907,Rio Claro - SP,210323,2025
354400,3544004,Rio das Pedras - SP,32329,2025
354410,3544103,Rio Grande da Serra - SP,45324,2025
354420,3544202,Riolândia - SP,10444,2025
354425,3544251,Rosana - SP,17434,2025
354430,3544301,Roseira - SP,11137,2025
354440,3544400,Rubiácea - SP,2740,2025
354450,3544509,Rubinéia - SP,3998,2025
354460,3544608,Sabino - SP,5182,2025
354470,3544707,Sagres - SP,2522,2025
354480,3544806,Sales - SP,6645,2025
