codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao
352520,3525201,Jarinu,Jundiaí,Campinas,Macro Metropolitana Paulista
352530,3525300,Jaú,Jaú,Bauru,Bauru
352540,3525409,Jeriquara,Franca,Ribeirão Preto,Ribeirão Preto
352550,3525508,Joanópolis,Bragança Paulista,Campinas,Macro Metropolitana Paulista
352560,3525607,João Ramalho,Presidente Prudente,Presidente Prudente,Presidente Prudente
352570,3525706,José Bonifácio,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
352580,3525805,Júlio Mesquita,Marília,Marília,Bauru
352585,3525854,Jumirim,Sorocaba,Sorocaba,Piracicaba
352590,3525904,Jundiaí,Jundiaí,Campinas,Macro Metropolitana Paulista
352600,3526001,Junqueirópolis,Dracena,Presidente Prudente,Presidente Prudente
352610,3526100,Juquiá,Registro,Sorocaba,Litoral Sul Paulista
352620,3526209,Juquitiba,São Paulo,São Paulo,Metropolitana de São Paulo
352630,3526308,Lagoinha,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
352640,3526407,Laranjal Paulista,Piracicaba,Campinas,Itapetininga
352650,3526506,Lavínia,Andradina,Araçatuba,Araçatuba
352660,3526605,Lavrinhas,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista
352670,3526704,Leme,Araras,Campinas,Piracicaba
352680,3526803,Lençóis Paulista,Bauru,Bauru,Bauru
352690,3526902,Limeira,Limeira,Campinas,Piracicaba
352700,3527009,Lindóia,Amparo,Campinas,Campinas
352710,3527108,Lins,Lins,Bauru,Bauru
352720,3527207,Lorena,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista
352725,3527256,Lourdes,Birigui - Penápolis,Araçatuba,Araçatuba
352730,3527306,Louveira,Jundiaí,Campinas,Macro Metropolitana Paulista
352740,3527405,Lucélia,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
352750,3527504,Lucianópolis,Bauru,Bauru,Bauru
352760,3527603,Luís Antônio,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
352770,3527702,Luiziânia,Birigui - Penápolis,Araçatuba,Araçatuba
352780,3527801,Lupércio,Marília,Marília,Marília
352790,3527900,Lutécia,Assis,Marília,Assis
352800,3528007,Macatuba,Bauru,Bauru,Bauru
352810,3528106,Macaubal,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
352820,3528205,Macedônia,Fernandópolis,São José do Rio Preto,São José do Rio Preto
352830,3528304,Magda,Araçatuba,Araçatuba,São José do Rio Preto
352840,3528403,Mairinque,Sorocaba,Sorocaba,Macro Metropolitana Paulista
352850,3528502,Mairiporã,São Paulo,São Paulo,Metropolitana de São Paulo
352860,3528601,Manduri,Avaré,Sorocaba,Assis
352870,3528700,Marabá Paulista,Presidente Epitácio-Presidente Venceslau,Presidente Prudente,Presidente Prudente
352880,3528809,Maracaí,Assis,Marília,Assis
352885,3528858,Marapoama,Catanduva,São José do Rio Preto,São José do Rio Preto
352890,3528908,Mariápolis,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
352900,3529005,Marília,Marília,Marília,Marília
352910,3529104,Marinópolis,Jales,São José do Rio Preto,São José do Rio Preto
352920,3529203,Martinópolis,Presidente Prudente,Presidente Prudente,Presidente Prudente
352930,3529302,Matão,Araraquara,Araraquara,Araraquara
352940,3529401,Mauá,São Paulo,São Paulo,Metropolitana de São Paulo
352950,3529500,Mendonça,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
352960,3529609,Meridiano,Fernandópolis,São José do Rio Preto,São José do Rio Preto
352965,3529658,Mesópolis,Jales,São José do Rio Preto,São José do Rio Preto
352970,3529708,Miguelópolis,Ituverava,Ribeirão Preto,Ribeirão Preto
352980,3529807,Mineiros do Tietê,Jaú,Bauru,Bauru
352990,3529906,Miracatu,Registro,Sorocaba,Litoral Sul Paulista
353000,3530003,Mira Estrela,Fernandópolis,São José do Rio Preto,São José do Rio Preto
353010,3530102,Mirandópolis,Andradina,Araçatuba,Araçatuba
353020,3530201,Mirante do Paranapanema,Presidente Prudente,Presidente Prudente,Presidente Prudente
353030,3530300,Mirassol,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353040,3530409,Mirassolândia,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353050,3530508,Mococa,São José do Rio Pardo - Mococa,Campinas,Campinas
353060,3530607,Mogi das Cruzes,São Paulo,São Paulo,Metropolitana de São Paulo
353070,3530706,Mogi Guaçu,Mogi Guaçu,Campinas,Campinas
