codigo,municipio,periodo,internacoes
350750,BOTUCATU,2025/Out,2651.0
350750,BOTUCATU,2025/Nov,2629.0
350750,BOTUCATU,2025/Dez,2437.0
350750,BOTUCATU,2026/Jan,2508.0
350750,BOTUCATU,2026/Fev,2530.0
350750,BOTUCATU,2026/Mar,2735.0
350750,BOTUCATU,2026/Abr,2456.0
350750,BOTUCATU,2026/Mai,2520.0
350750,BOTUCATU,2026/Jun,2500.0
350760,BRAGANCA PAULISTA,2025/Jul,1656.0
350760,BRAGANCA PAULISTA,2025/Ago,1576.0
350760,BRAGANCA PAULISTA,2025/Set,1635.0
350760,BRAGANCA PAULISTA,2025/Out,1522.0
350760,BRAGANCA PAULISTA,2025/Nov,1449.0
350760,BRAGANCA PAULISTA,2025/Dez,1310.0
350760,BRAGANCA PAULISTA,2026/Jan,1548.0
350760,BRAGANCA PAULISTA,2026/Fev,1576.0
350760,BRAGANCA PAULISTA,2026/Mar,1675.0
350760,BRAGANCA PAULISTA,2026/Abr,1623.0
350760,BRAGANCA PAULISTA,2026/Mai,1546.0
350760,BRAGANCA PAULISTA,2026/Jun,1531.0
350790,BROTAS,2025/Jul,71.0
350790,BROTAS,2025/Ago,64.0
350790,BROTAS,2025/Set,56.0
350790,BROTAS,2025/Out,49.0
350790,BROTAS,2025/Nov,43.0
350790,BROTAS,2025/Dez,52.0
350790,BROTAS,2026/Jan,58.0
350790,BROTAS,2026/Fev,49.0
350790,BROTAS,2026/Mar,69.0
350790,BROTAS,2026/Abr,69.0
350790,BROTAS,2026/Mai,66.0
350790,BROTAS,2026/Jun,55.0
350810,BURITAMA,2025/Jul,115.0
350810,BURITAMA,2025/Ago,134.0
350810,BURITAMA,2025/Set,119.0
350810,BURITAMA,2025/Out,152.0
350810,BURITAMA,2025/Nov,109.0
350810,BURITAMA,2025/Dez,120.0
350810,BURITAMA,2026/Jan,91.0
350810,BURITAMA,2026/Fev,91.0
350810,BURITAMA,2026/Mar,138.0
350810,BURITAMA,2026/Abr,133.0
350810,BURITAMA,2026/Mai,160.0
350810,BURITAMA,2026/Jun,138.0
350840,CABREUVA,2025/Jul,64.0
350840,CABREUVA,2025/Ago,29.0
350840,CABREUVA,2025/Set,30.0
350840,CABREUVA,2025/Nov,94.0
350840,CABREUVA,2025/Dez,233.0
350840,CABREUVA,2026/Jan,78.0
350840,CABREUVA,2026/Fev,75.0
350840,CABREUVA,2026/Mar,87.0
350840,CABREUVA,2026/Abr,73.0
350840,CABREUVA,2026/Mai,79.0
350840,CABREUVA,2026/Jun,77.0
350850,CACAPAVA,2025/Jul,305.0
350850,CACAPAVA,2025/Ago,549.0
350850,CACAPAVA,2025/Set,386.0
350850,CACAPAVA,2025/Out,300.0
350850,CACAPAVA,2025/Nov,325.0
350850,CACAPAVA,2025/Dez,266.0
350850,CACAPAVA,2026/Jan,300.0
350850,CACAPAVA,2026/Fev,436.0
350850,CACAPAVA,2026/Mar,91.0
350850,CACAPAVA,2026/Abr,275.0
350850,CACAPAVA,2026/Mai,323.0
350850,CACAPAVA,2026/Jun,445.0
350870,CACONDE,2025/Jul,186.0
350870,CACONDE,2025/Ago,177.0
350870,CACONDE,2025/Set,188.0
350870,CACONDE,2025/Out,165.0
350870,CACONDE,2025/Nov,173.0
350870,CACONDE,2025/Dez,124.0
350870,CACONDE,2026/Jan,71.0
350870,CACONDE,2026/Fev,153.0
350870,CACONDE,2026/Mar,166.0
350870,CACONDE,2026/Abr,176.0
350870,CACONDE,2026/Mai,168.0
350870,CACONDE,2026/Jun,183.0
350880,CAFELANDIA,2025/Jul,95.0
350880,CAFELANDIA,2025/Ago,88.0
350880,CAFELANDIA,2025/Set,71.0
350880,CAFELANDIA,2025/Out,60.0
350880,CAFELANDIA,2025/Nov,78.0
350880,CAFELANDIA,2025/Dez,65.0
350880,CAFELANDIA,2026/Jan,67.0
350880,CAFELANDIA,2026/Fev,59.0
350880,CAFELANDIA,2026/Mar,60.0
350880,CAFELANDIA,2026/Abr,56.0
350880,CAFELANDIA,2026/Mai,71.0
350880,CAFELANDIA,2026/Jun,74.0
350900,CAIEIRAS,2025/Jul,426.0
350900,CAIEIRAS,2025/Ago,438.0
350900,CAIEIRAS,2025/Set,389.0
350900,CAIEIRAS,2025/Out,402.0
350900,CAIEIRAS,2025/Nov,361.0
350900,CAIEIRAS,2025/Dez,419.0
350900,CAIEIRAS,2026/Jan,320.0
350900,CAIEIRAS,2026/Fev,362.0
350900,CAIEIRAS,2026/Mar,464.0
350900,CAIEIRAS,2026/Abr,452.0
350900,CAIEIRAS,2026/Mai,540.0
350900,CAIEIRAS,2026/Jun,579.0
350920,CAJAMAR,2025/Jul,233.0
350920,CAJAMAR,2025/Ago,256.0
350920,CAJAMAR,2025/Set,304.0
350920,CAJAMAR,2025/Out,250.0
350920,CAJAMAR,2025/Nov,300.0
350920,CAJAMAR,2025/Dez,306.0
350920,CAJAMAR,2026/Jan,305.0
350920,CAJAMAR,2026/Fev,309.0
350920,CAJAMAR,2026/Mar,318.0
350920,CAJAMAR,2026/Abr,327.0
350920,CAJAMAR,2026/Mai,302.0
350920,CAJAMAR,2026/Jun,285.0
350930,CAJOBI,2025/Jul,49.0
350930,CAJOBI,2025/Ago,50.0
350930,CAJOBI,2025/Set,47.0
350930,CAJOBI,2025/Out,42.0
350930,CAJOBI,2025/Nov,31.0
350930,CAJOBI,2025/Dez,28.0
350930,CAJOBI,2026/Jan,48.0
350930,CAJOBI,2026/Mar,71.0
350930,CAJOBI,2026/Abr,71.0
350930,CAJOBI,2026/Mai,34.0
350930,CAJOBI,2026/Jun,26.0
350940,CAJURU,2025/Jul,290.0
350940,CAJURU,2025/Ago,300.0
350940,CAJURU,2025/Set,274.0
350940,CAJURU,2025/Out,278.0
350940,CAJURU,2025/Nov,250.0
350940,CAJURU,2025/Dez,249.0
