codigo,municipio,capitulo_cid10,internacoes
350520,BARIRI,Cap 21,27.0
350530,BARRA BONITA,Cap 01,87.0
350530,BARRA BONITA,Cap 02,14.0
350530,BARRA BONITA,Cap 03,42.0
350530,BARRA BONITA,Cap 04,33.0
350530,BARRA BONITA,Cap 05,2.0
350530,BARRA BONITA,Cap 06,28.0
350530,BARRA BONITA,Cap 08,4.0
350530,BARRA BONITA,Cap 09,244.0
350530,BARRA BONITA,Cap 10,346.0
350530,BARRA BONITA,Cap 11,327.0
350530,BARRA BONITA,Cap 12,71.0
350530,BARRA BONITA,Cap 13,21.0
350530,BARRA BONITA,Cap 14,172.0
350530,BARRA BONITA,Cap 15,194.0
350530,BARRA BONITA,Cap 16,22.0
350530,BARRA BONITA,Cap 17,1.0
350530,BARRA BONITA,Cap 18,29.0
350530,BARRA BONITA,Cap 19,265.0
350530,BARRA BONITA,Cap 21,34.0
350550,BARRETOS,Cap 01,983.0
350550,BARRETOS,Cap 02,15111.0
350550,BARRETOS,Cap 03,128.0
350550,BARRETOS,Cap 04,1650.0
350550,BARRETOS,Cap 05,538.0
350550,BARRETOS,Cap 06,372.0
350550,BARRETOS,Cap 07,63.0
350550,BARRETOS,Cap 08,50.0
350550,BARRETOS,Cap 09,2579.0
350550,BARRETOS,Cap 10,1385.0
350550,BARRETOS,Cap 11,1830.0
350550,BARRETOS,Cap 12,279.0
350550,BARRETOS,Cap 13,656.0
350550,BARRETOS,Cap 14,2377.0
350550,BARRETOS,Cap 15,1756.0
350550,BARRETOS,Cap 16,543.0
350550,BARRETOS,Cap 17,234.0
350550,BARRETOS,Cap 18,340.0
350550,BARRETOS,Cap 19,1594.0
350550,BARRETOS,Cap 21,290.0
350570,BARUERI,Cap 01,1246.0
350570,BARUERI,Cap 02,1207.0
350570,BARUERI,Cap 03,308.0
350570,BARUERI,Cap 04,562.0
350570,BARUERI,Cap 05,712.0
350570,BARUERI,Cap 06,485.0
350570,BARUERI,Cap 07,2490.0
350570,BARUERI,Cap 08,69.0
350570,BARUERI,Cap 09,4018.0
350570,BARUERI,Cap 10,4147.0
350570,BARUERI,Cap 11,6630.0
350570,BARUERI,Cap 12,2739.0
350570,BARUERI,Cap 13,637.0
350570,BARUERI,Cap 14,3822.0
350570,BARUERI,Cap 15,4898.0
350570,BARUERI,Cap 16,699.0
350570,BARUERI,Cap 17,172.0
350570,BARUERI,Cap 18,1328.0
350570,BARUERI,Cap 19,3526.0
350570,BARUERI,Cap 21,1402.0
350580,BASTOS,Cap 01,204.0
350580,BASTOS,Cap 02,3.0
350580,BASTOS,Cap 03,55.0
350580,BASTOS,Cap 04,97.0
350580,BASTOS,Cap 06,1.0
350580,BASTOS,Cap 08,1.0
350580,BASTOS,Cap 09,194.0
350580,BASTOS,Cap 10,241.0
350580,BASTOS,Cap 11,117.0
350580,BASTOS,Cap 12,1.0
350580,BASTOS,Cap 13,3.0
350580,BASTOS,Cap 14,172.0
350580,BASTOS,Cap 15,8.0
350580,BASTOS,Cap 16,8.0
350580,BASTOS,Cap 19,29.0
350580,BASTOS,Cap 21,14.0
350590,BATATAIS,Cap 01,196.0
350590,BATATAIS,Cap 02,93.0
350590,BATATAIS,Cap 03,34.0
350590,BATATAIS,Cap 04,112.0
350590,BATATAIS,Cap 05,8.0
350590,BATATAIS,Cap 06,39.0
350590,BATATAIS,Cap 07,23.0
350590,BATATAIS,Cap 08,3.0
350590,BATATAIS,Cap 09,272.0
350590,BATATAIS,Cap 10,525.0
350590,BATATAIS,Cap 11,439.0
350590,BATATAIS,Cap 12,70.0
350590,BATATAIS,Cap 13,138.0
350590,BATATAIS,Cap 14,133.0
350590,BATATAIS,Cap 15,425.0
350590,BATATAIS,Cap 16,20.0
350590,BATATAIS,Cap 17,1.0
350590,BATATAIS,Cap 18,181.0
350590,BATATAIS,Cap 19,708.0
350590,BATATAIS,Cap 21,248.0
350600,BAURU,Cap 01,1004.0
350600,BAURU,Cap 02,3851.0
350600,BAURU,Cap 03,191.0
350600,BAURU,Cap 04,519.0
